product_id,product_title,product_handle,variant_id,variant_title,cad_price,current_usd_price,suggested_usd_price,status
prod_01KVSFB71XDNGFJN01RH3C2G1M,Organic Apples,organic-apples,variant_01KVSFB75GZJ4N0B9SY6BXDTZC,Standard,499,,,missing_usd
prod_01KVSFB7BAX6R5GFXKKCC4CYHX,Fresh Bananas,fresh-bananas,variant_01KVSFB7CD3CVS9WN4SCVE9YXT,Standard,299,,,missing_usd
prod_01KVSFB7DRWS2W3RZ6PEWEJV29,Red Strawberries,red-strawberries,variant_01KVSFB7EKARSRMJ14F2T30WPN,Standard,699,,,missing_usd
prod_01KVSFB7FQRQPT7HHHQTS0D9QA,Green Grapes,green-grapes,variant_01KVSFB7GDJ405F2JQJ8A68700,Standard,599,,,missing_usd
prod_01KVSFB7HK2723G4QTVR3DBP0S,Sweet Mangoes,sweet-mangoes,variant_01KVSFB7JCCZ0V3E7Q7JQPAYGW,Standard,799,,,missing_usd
prod_01KVSFB7KH3MAADTC8FXDNB7K9,Organic Carrots,organic-carrots,variant_01KVSFB7M7DJ2NQP1MRFC161ZP,Standard,399,,,missing_usd
prod_01KVSFB7NFW3HA28BEMYCHVFRJ,Fresh Broccoli,fresh-broccoli,variant_01KVSFB7PMVBDKJ5NHD9CQQ5NX,Standard,449,,,missing_usd
prod_01KVSFB7REXCQRQ06W82C4610V,Green Spinach,green-spinach,variant_01KVSFB7SC8G5X8ZGN2TAPHTPG,Standard,499,,,missing_usd
prod_01KVSFB7VJMJVD821ZFVYN9FWV,Red Tomatoes,red-tomatoes,variant_01KVSFB7WSVC6Y3C0E24ZSP890,Standard,399,,,missing_usd
prod_01KVSFB7Z7ZARK3KPZCNNGCFN8,Organic Potatoes,organic-potatoes,variant_01KVSFB80MDTP8T8R6Z7GB0CQN,Standard,549,,,missing_usd
prod_01KVSFB82HYD8N48WG7XQGKWBW,Organic Milk,organic-milk,variant_01KVSFB83K91ZD462YSQSFPK8C,Standard,649,,,missing_usd
prod_01KVSFB85A4E8Z4E4F7ZX8E2SW,Greek Yogurt,greek-yogurt,variant_01KVSFB86BTEA7ZEZ2M01STJYG,Standard,599,,,missing_usd
prod_01KVSFB87RKDRSY8HR988M0Z9K,Cheddar Cheese,cheddar-cheese,variant_01KVSFB88CG0FGKBQTG2KNBZE8,Standard,799,,,missing_usd
prod_01KVSFB8A3QK5WZV03MTMEAHPD,Fresh Butter,fresh-butter,variant_01KVSFB8B6VM0SCQ8NFQZRC239,Standard,549,,,missing_usd
prod_01KVSFB8CFN04MJA0CDQ8Y3QZX,Paneer Block,paneer-block,variant_01KVSFB8D6X5V3ZFD2N7NXRYY5,Standard,699,,,missing_usd
prod_01KVSFB8ENFV01KZE8AYE46CJB,Whole Wheat Bread,whole-wheat-bread,variant_01KVSFB8FGBH5QYY47W48PZY7B,Standard,499,,,missing_usd
prod_01KVSFB8GJWSH1JMXG0XPG2F6N,Croissant,croissant,variant_01KVSFB8HDHXQHA4PKSS9PQ89A,Standard,349,,,missing_usd
prod_01KVSFB8JPGQQ7QE235C4QDZX0,Sourdough Loaf,sourdough-loaf,variant_01KVSFB8K8SQ0PERBD5HNEJE6M,Standard,699,,,missing_usd
prod_01KVSFB8M7AVMZ6888SSSYQE5K,Muffins Pack,muffins-pack,variant_01KVSFB8MVTVENGRRVN6V61TQN,Standard,899,,,missing_usd
prod_01KVSFB8NSZ67XN9G17BJJ1W38,Organic Cookies,organic-cookies,variant_01KVSFB8PAKFQGF5B8VM9DCSFJ,Standard,649,,,missing_usd
prod_01KVSFB8QBJ9M95V6E0DFZWHBV,Chicken Breast,chicken-breast,variant_01KVSFB8R0M148Z5PHK7597K2E,Standard,1299,,,missing_usd
prod_01KVSFB8S2F4YXNV9BAKSNB9M2,Lamb Chops,lamb-chops,variant_01KVSFB8STSXDM303M3W7B1C6A,Standard,1899,,,missing_usd
prod_01KVSFB8V27PTZ08274047AXD9,Turkey Slices,turkey-slices,variant_01KVSFB8VPBD68YJKXTHQMNQ8W,Standard,1099,,,missing_usd
prod_01KVSFB8WPTXN2GCYBZ5XH4RH6,Beef Steak,beef-steak,variant_01KVSFB8X9WW94FBJDVM4J4VFH,Standard,2299,,,missing_usd
prod_01KVSFB8YFCM952E63E8F4955Z,Chicken Sausages,chicken-sausages,variant_01KVSFB8Z51WWP1W03QSDBY8N3,Standard,999,,,missing_usd
