product_id,product_title,product_handle,variant_id,variant_title,price_set_id,stored_cad_price,store_api_calculated_cad_price,current_usd_price,source_or_created_at,likely_minor_unit_seed,suggested_corrected_cad_price,correction_reason,approved_corrected_cad_price,status
prod_01KVJF9J4R7XMZ1Z73SMTNT8KC,Medusa Sweatpants,sweatpants,variant_01KVJF9J7VRDSRVXN2TPR5E5JS,S,pset_01KVJF9JA9NNYB3NBSSRT28M63,10,,15,Sat Jun 20 2026 17:45:07 GMT+0530 (India Standard Time),no,,,,ok
prod_01KVJF9J4R7XMZ1Z73SMTNT8KC,Medusa Sweatpants,sweatpants,variant_01KVJF9J7VCVRWX9QA6Y4Z7WNB,M,pset_01KVJF9JA9D60CNTR8KV01DPS4,10,,15,Sat Jun 20 2026 17:45:07 GMT+0530 (India Standard Time),no,,,,ok
prod_01KVJF9J4R7XMZ1Z73SMTNT8KC,Medusa Sweatpants,sweatpants,variant_01KVJF9J7VRVF2N11E0J6K2ETS,L,pset_01KVJF9JAAH0Z0DWRQ26F09FPD,10,,15,Sat Jun 20 2026 17:45:07 GMT+0530 (India Standard Time),no,,,,ok
prod_01KVJF9J4R7XMZ1Z73SMTNT8KC,Medusa Sweatpants,sweatpants,variant_01KVJF9J7VBMFJWM99HTYEE3KX,XL,pset_01KVJF9JAAY5F116Y7HM948XEK,10,,15,Sat Jun 20 2026 17:45:07 GMT+0530 (India Standard Time),no,,,,ok
prod_01KVJF9J4RJDP0QXZ4B09QGJ0S,Medusa Shorts,shorts,variant_01KVJF9J7WMRTV8Z6YF9PXPMTB,S,pset_01KVJF9JAAJDJVMSVFAW4AHGKW,10,,15,Sat Jun 20 2026 17:45:07 GMT+0530 (India Standard Time),no,,,,ok
prod_01KVJF9J4RJDP0QXZ4B09QGJ0S,Medusa Shorts,shorts,variant_01KVJF9J7WQ2T5BPB02N3QYKBZ,M,pset_01KVJF9JABE4P5S74CTJAXMKRE,10,,15,Sat Jun 20 2026 17:45:07 GMT+0530 (India Standard Time),no,,,,ok
prod_01KVJF9J4RJDP0QXZ4B09QGJ0S,Medusa Shorts,shorts,variant_01KVJF9J7WPJ0J6KXS78K8B4AX,L,pset_01KVJF9JABYTQ6ZVASQEPKW8C1,10,,15,Sat Jun 20 2026 17:45:07 GMT+0530 (India Standard Time),no,,,,ok
prod_01KVJF9J4RJDP0QXZ4B09QGJ0S,Medusa Shorts,shorts,variant_01KVJF9J7WFCB21E58J9FSE50Q,XL,pset_01KVJF9JABAXSX4CCXQE2FEJH0,10,,15,Sat Jun 20 2026 17:45:07 GMT+0530 (India Standard Time),no,,,,ok
prod_01KVJF9J4RKC61HMGV5BMRNXN3,Medusa Sweatshirt,sweatshirt,variant_01KVJF9J7TBTE05S8FBCXNTTGD,S,pset_01KVJF9JA85TW5E1FW10FZ1QNG,10,,15,Sat Jun 20 2026 17:45:07 GMT+0530 (India Standard Time),no,,,,ok
prod_01KVJF9J4RKC61HMGV5BMRNXN3,Medusa Sweatshirt,sweatshirt,variant_01KVJF9J7TH3XVZSS7EASJNP2S,M,pset_01KVJF9JA9M0J3WAG1K5Z386HK,10,,15,Sat Jun 20 2026 17:45:07 GMT+0530 (India Standard Time),no,,,,ok
prod_01KVJF9J4RKC61HMGV5BMRNXN3,Medusa Sweatshirt,sweatshirt,variant_01KVJF9J7TXJP70XZXEAQWVATX,L,pset_01KVJF9JA9A0KZ778WV9TJZCJJ,10,,15,Sat Jun 20 2026 17:45:07 GMT+0530 (India Standard Time),no,,,,ok
prod_01KVJF9J4RKC61HMGV5BMRNXN3,Medusa Sweatshirt,sweatshirt,variant_01KVJF9J7VH1FXQ845RECAFW8V,XL,pset_01KVJF9JA95WFMXF9T9G9KAQ72,10,,15,Sat Jun 20 2026 17:45:07 GMT+0530 (India Standard Time),no,,,,ok
prod_01KVJF9J4RKQA6VSTE3T3YYAKX,Medusa T-Shirt,t-shirt,variant_01KVJF9J7R77RDQYMEDJ0MF7TV,S / Black,pset_01KVJF9JA5MP2DD76P4Z1GCSM3,10,,15,Sat Jun 20 2026 17:45:07 GMT+0530 (India Standard Time),no,,,,ok
